,ffrate,inf,gap
1955-03-31,1.35,-0.519866320089122,2.11233683650112
1955-06-30,1.64,-0.85374907201188,3.1059483135487
1955-09-30,2.18,0.14919806042522502,3.8394129823774703
1955-12-31,2.48,0.37355248412402503,3.7837595642113198
1956-03-31,2.5,0.37327360955581,2.7021286936581403
1956-06-30,2.71,1.64732309996255,2.88187688395486
1956-09-30,2.95,1.86219739292365,2.0977709212581996
1956-12-31,2.94,2.82843319687383,3.04682807495794
1957-03-31,2.96,3.60728895500185,2.9195384494912404
1957-06-30,3.0,3.53591160220995,1.8703852193939399
1957-09-30,3.47,3.54661791590493,2.01233545187303
1957-12-31,2.98,3.04017372421281,0.0837701659772756
1958-03-31,1.2,3.62526920315866,-3.3579288169422
1958-06-30,0.93,2.84596229099965,-3.59013433260626
1958-09-30,1.76,2.0833333333333304,-2.2449557729696603
1958-12-31,2.42,1.75623463294696,-0.8935104167524621
1959-03-31,2.8,0.34638032559749893,0.0602623520851725
1959-06-30,3.39,0.6918021445866459,1.33327897369632
1959-09-30,3.76,1.1760636457973,0.38571520026845396
1959-12-31,3.99,1.51881256472213,-0.336310151971574
1960-03-31,3.84,1.51881256472213,0.8673134897353241
1960-06-30,3.32,1.7176228100309199,-0.677819145812045
1960-09-30,2.6,1.23076923076923,-1.1834410747533701
1960-12-31,1.98,1.36008160489629,-3.40288889671128
1961-03-31,2.02,1.46208772526351,-3.70270302331357
1961-06-30,1.73,0.7767646065518421,-2.99432639175367
1961-09-30,1.88,1.24957784532253,-2.0986149231641003
1961-12-31,2.33,0.670915800067101,-1.15397628509949
1962-03-31,2.85,1.1058981233243999,-0.395369103712288
1962-06-30,2.68,1.23994638069705,-0.5142081861024811
1962-09-30,2.9,1.46764509673116,-0.328201125564153
1962-12-31,2.93,1.23292235921359,-1.03770458828263
1963-03-31,2.98,1.12694729864103,-0.998427625089183
1963-06-30,2.99,1.3240648791790801,-0.940761254465188
1963-09-30,3.48,0.9861932938855921,0.163507508208573
1963-12-31,3.38,1.6458196181698501,-0.258794137797397
1964-03-31,3.43,1.4093739757456598,0.763713697395187
1964-06-30,3.5,1.3067624959163702,0.766304918909705
1964-09-30,3.45,1.171875,1.2417668571179
1964-12-31,3.85,1.19818652849741,0.47054941130036293
1965-03-31,4.05,1.19586296056883,1.78316878901643
1965-06-30,4.05,1.9348597226701,1.97731873433792
1965-09-30,4.02,1.73745173745175,3.11004901993496
1965-12-31,4.32,1.92,4.33647380749922
1966-03-31,4.66,2.77866496327052,5.7046988490738
1966-06-30,5.17,2.43593799430561,4.90011261564657
1966-09-30,5.4,3.57368753953194,4.620497348388151
1966-12-31,5.4,3.3594976452119303,4.33062838887537
1967-03-31,4.53,2.54816656308266,4.10293808182514
1967-06-30,3.98,2.8412600370599,3.03150943962565
1967-09-30,3.99,2.59541984732825,2.8774658387274505
1967-12-31,4.51,3.28068043742405,2.5133350710282003
1968-03-31,5.05,3.9393939393939306,3.4528350267258503
1968-06-30,6.07,4.2042042042042205,4.0332767273025505
1968-09-30,5.78,4.46428571428571,3.6811367221819595
1968-12-31,6.02,4.70588235294118,2.93299599231911
1969-03-31,6.79,5.24781341107873,3.42832411537126
1969-06-30,8.9,5.47550432276657,2.68925808151413
1969-09-30,9.15,5.6980056980057,2.37540048272579
1969-12-31,8.97,5.8988764044943895,0.9452888797325469
1970-03-31,7.76,6.09418282548475,-0.0830248409505211
1970-06-30,7.61,6.01092896174862,-0.770000528348171
1970-09-30,6.29,5.660377358490571,-0.6512785951977901
1970-12-31,4.9,5.570291777188309,-2.4729661943472205
1971-03-31,3.71,4.43864229765014,-0.5906332648311321
1971-06-30,4.91,4.38144329896908,-0.8266173826235249
1971-09-30,5.55,4.0816326530612095,-0.7894171885941271
1971-12-31,4.14,3.2663316582914703,-1.3369751796729599
1972-03-31,3.83,3.5,-0.320628761132946
1972-06-30,4.46,2.9629629629629703,1.12806105299218
1972-09-30,4.87,3.18627450980393,1.2616950384285
1972-12-31,5.33,3.40632603406326,2.1228808158000003
1973-03-31,7.09,4.830917874396139,3.7896741147310196
1973-06-30,8.49,5.99520383693046,4.02333766961136
1973-09-30,10.78,7.36342042755345,2.5905021548572598
1973-12-31,9.95,8.94117647058823,2.66648511874287
1974-03-31,9.35,10.1382488479263,0.897353694084734
1974-06-30,11.93,10.8597285067873,0.258469692309567
1974-09-30,11.34,11.946902654867301,-1.53347917704767
1974-12-31,8.53,12.095032397408199,-2.7310970168023396
1975-03-31,5.54,10.4602510460251,-4.6864048685335
1975-06-30,5.55,9.18367346938776,-4.75391952872478
1975-09-30,6.24,7.90513833992095,-3.86660928561085
1975-12-31,5.2,7.129094412331411,-3.3146936288521403
1976-03-31,4.84,6.06060606060607,-1.8871145011353
1976-06-30,5.48,5.981308411214959,-1.92035184284495
1976-09-30,5.25,5.49450549450549,-2.15097869430899
1976-12-31,4.65,5.03597122302158,-2.2164253433092997
1977-03-31,4.69,6.428571428571429,-1.8572003818662899
1977-06-30,5.39,6.70194003527336,-0.766895965378733
1977-09-30,6.14,6.4236111111111,0.19257917412786
1977-12-31,6.56,6.6780821917808195,-0.645099692677573
1978-03-31,6.79,6.375838926174491,-1.17686749546427
1978-06-30,7.6,7.43801652892562,1.75775403480057
1978-09-30,8.45,8.48287112561175,1.87896318138741
1978-12-31,10.03,8.98876404494383,2.33528313054414
1979-03-31,10.09,10.2523659305994,1.59529113138608
1979-06-30,10.29,11.076923076923098,0.8260289602037459
1979-09-30,11.43,11.879699248120302,0.7481076426797428
1979-12-31,13.78,13.2547864506627,0.234935073156005
1980-03-31,17.19,14.592274678111599,-0.145938035791746
1980-06-30,9.47,14.2659279778393,-2.80952431003137
1980-09-30,10.87,12.768817204301099,-3.45696931756158
1980-12-31,18.9,12.3537061118336,-2.2210902616987402
1981-03-31,14.7,10.6117353308365,-0.932809655723223
1981-06-30,19.1,9.696969696969699,-2.3248692510398703
1981-09-30,15.87,10.965435041716301,-1.8482889190117902
1981-12-31,12.37,8.91203703703702,-3.6278304107907795
1982-03-31,14.68,6.8848758465011395,-5.83891869134385
1982-06-30,14.15,7.18232044198895,-6.132922978732211
1982-09-30,10.31,4.940923737916231,-7.214488530384691
1982-12-31,8.95,3.82571732199788,-7.90316137202428
1983-03-31,8.77,3.5902851108764398,-7.41214362679855
1983-06-30,8.98,2.4742268041237203,-6.050145080617981
1983-09-30,9.45,2.76356192425794,-4.9414080984180995
1983-12-31,9.47,3.7871033776867997,-3.7621424029372
1984-03-31,9.91,4.89296636085628,-2.71812680501935
1984-06-30,11.06,4.32595573440644,-1.90511880215956
1984-09-30,11.3,4.2828685258964105,-1.8411742556138102
1984-12-31,8.38,4.04339250493096,-1.9239720933926698
1985-03-31,8.58,3.79008746355684,-1.8590108416201898
1985-06-30,7.53,3.66441658630665,-1.87767262952552
1985-09-30,7.92,3.2473734479465097,-1.2597266954651298
1985-12-31,8.27,3.7914691943127994,-1.39157493451705
1986-03-31,7.48,2.15355805243445,-1.3235878998143502
1986-06-30,6.92,1.76744186046512,-1.7164850869778299
1986-09-30,5.89,1.75763182238668,-1.60533767953446
1986-12-31,6.91,1.1872146118721398,-1.89400231416704
1987-03-31,6.13,2.8414298808432696,-1.966948227567
1987-06-30,6.73,3.7477148080438702,-1.7020267188253502
1987-09-30,7.22,4.27272727272728,-1.63097345358524
1987-12-31,6.77,4.33212996389891,-0.724025407366893
1988-03-31,6.58,3.8324420677361806,-0.9778189868959509
1988-06-30,7.51,3.9647577092510997,-0.44223490191758097
1988-09-30,8.19,4.1848299912816,-0.6131558539416689
1988-12-31,8.76,4.41176470588236,-0.0421367954053359
1989-03-31,9.85,4.892703862660951,0.22887035120122198
1989-06-30,9.53,5.1694915254237195,0.255451344833993
1989-09-30,9.02,4.43514644351464,0.26797662181252596
1989-12-31,8.45,4.63960231980116,-0.25408705085711
1990-03-31,8.28,5.23731587561374,0.127192690773833
1990-06-30,8.29,4.67365028203063,-0.20495857683561702
1990-09-30,8.2,6.1698717948718,-0.811015020009073
1990-12-31,7.31,6.25494853523357,-2.35723182057237
1991-03-31,6.12,4.821150855365491,-3.43633741462484
1991-06-30,5.9,4.69591993841416,-3.2914513480817904
1991-09-30,5.45,3.3962264150943398,-3.40093627088758
